device,subject,browser,batterystats_Joule_calculated
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads,chrome,323.329968
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noads,opera,349.59168
nexus9,http-independent-co-uk-batterystats-independent-independent-noanalytics,chrome,840.686832
nexus9,http-independent-co-uk-batterystats-independent-independent-noanalytics,opera,693.9344159999999
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-noanalytics,chrome,636.1035840000001
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-noanalytics,opera,477.409392
nexus9,http-www-britannica-com-batterystats-britannica-britannica-noads,chrome,247.42036799999997
nexus9,http-www-britannica-com-batterystats-britannica-britannica-noads,opera,238.006872
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full,chrome,416.965104
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-full,opera,302.443848
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-full,chrome,719.0514
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-full,opera,614.763792
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad,chrome,403.274088
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noad,opera,413.155008
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-noanalytics,chrome,416.751984
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-noanalytics,opera,504.19533599999994
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-noads,chrome,494.672688
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-noads,opera,532.4002560000001
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-full,chrome,772.780032
nexus9,http-scientificamerican-com-batterystats-scientificamerican-scientificamerican-full,opera,610.6661280000001
nexus9,http-science-org-batterystats-science-science-noanalytics,chrome,551.305872
nexus9,http-science-org-batterystats-science-science-noanalytics,opera,408.569688
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-full,chrome,923.8930559999999
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-full,opera,825.72984
nexus9,http-science-org-batterystats-science-science-noads,chrome,446.46336
nexus9,http-science-org-batterystats-science-science-noads,opera,368.427456
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-noads,chrome,544.6347840000001
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-noads,opera,533.57328
nexus9,http-independent-co-uk-batterystats-independent-independent-full,chrome,792.5775120000001
nexus9,http-independent-co-uk-batterystats-independent-independent-full,opera,642.963024
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-noad,chrome,256.94136
nexus9,http-w3schools-com-batterystats-w3schools-w3schools-noad,opera,240.893136
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics,chrome,367.61680800000005
nexus9,http-biomedcentral-com-batterystats-biomedcentral-biomedcentral-noanalytics,opera,304.06212000000005
nexus9,http-independent-co-uk-batterystats-independent-independent-noads,chrome,338.81544
nexus9,http-independent-co-uk-batterystats-independent-independent-noads,opera,334.86695999999995
nexus9,http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics,chrome,680.374296
nexus9,http-192-168-40-1-batterystats-theguardian-theguardian-noanalytics,opera,726.240888
nexus9,http-192-168-40-1-batterystats-theguardian-theguardian-full,chrome,773.4826439999999
nexus9,http-192-168-40-1-batterystats-theguardian-theguardian-full,opera,617.334516
nexus9,http-www-britannica-com-batterystats-britannica-britannica-noanalytics,chrome,305.902368
nexus9,http-www-britannica-com-batterystats-britannica-britannica-noanalytics,opera,556.230456
nexus9,http-www-britannica-com-batterystats-britannica-britannica-full,chrome,407.986416
nexus9,http-www-britannica-com-batterystats-britannica-britannica-full,opera,440.37996480000004
nexus9,http-science-org-batterystats-science-science-full,chrome,592.0073279999999
nexus9,http-science-org-batterystats-science-science-full,opera,482.948352
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics,chrome,357.098976
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-noanalytics,opera,383.814864
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics,chrome,492.27580800000004
nexus9,http-192-168-40-1-batterystats-dailymail-dailymail-noanalytics,opera,680.219064
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full,chrome,669.278016
nexus9,http-geeksforgeeks-org-batterystats-geeksforgeeks-geeksforgeeks-full,opera,586.4461920000001
